ID,Name,Source
1,3928                    ,FK6
2,4001                    ,FK6
3,3929                    ,FK6
4,3930                    ,FK6
5,3931                    ,FK6
6,4002                    ,FK6
7,4003                    ,FK6
8,3933 32 Psc             ,FK6
9,4004                    ,FK6
10,4005                    ,FK6
11,4006                    ,FK6
12,4007                    ,FK6
13,4008                    ,FK6
14,2001 3 Cet              ,FK6
15,4010                    ,FK6
16,2004 86 Peg             ,FK6
17,2005 10 Cas             ,FK6
18,4013                    ,FK6
19,4014                    ,FK6
20,4015                    ,FK6
21,4016                    ,FK6
22,4017                    ,FK6
23,4018                    ,FK6
24,4019                    ,FK6
25,2007                    ,FK6
26,3971 gamma^3 Oct        ,FK6
27,2008                    ,FK6
28,4021                    ,FK6
29,4022                    ,FK6
30,2009                    ,FK6
31,4023                    ,FK6
32,4024                    ,FK6
33,3972                    ,FK6
34,2010 23 And             ,FK6
35,2011                    ,FK6
36,2012                    ,FK6
37,4025                    ,FK6
38,2013                    ,FK6
39,4026                    ,FK6
40,4027                    ,FK6
41,2014                    ,FK6
42,4028                    ,FK6
43,4029                    ,FK6
44,4030                    ,FK6
45,4031                    ,FK6
46,2016                    ,FK6
47,2017                    ,FK6
48,4032                    ,FK6
49,4033                    ,FK6
50,4035                    ,FK6
51,4036                    ,FK6
52,2018 pi Tuc             ,FK6
53,4038                    ,FK6
54,2019                    ,FK6
55,4039                    ,FK6
56,4040                    ,FK6
57,2021                    ,FK6
58,4042                    ,FK6
59,4043                    ,FK6
60,2024                    ,FK6
61,4044                    ,FK6
62,2023                    ,FK6
63,2025                    ,FK6
64,4046                    ,FK6
65,2026 eta Scl            ,FK6
66,2028                    ,FK6
67,2030                    ,FK6
68,4047                    ,FK6
69,4048                    ,FK6
70,2031                    ,FK6
71,2034                    ,FK6
72,2035 theta Tuc          ,FK6
73,4050                    ,FK6
74,4051                    ,FK6
75,2036 14 Cet             ,FK6
76,4053                    ,FK6
77,2038                    ,FK6
78,2037                    ,FK6
79,2039 53 Psc             ,FK6
80,4054                    ,FK6
81,4055                    ,FK6
82,4056                    ,FK6
83,2040                    ,FK6
84,4057                    ,FK6
85,2041                    ,FK6
86,3941                    ,FK6
87,2042                    ,FK6
88,2043 32 And             ,FK6
89,2045                    ,FK6
90,4060                    ,FK6
91,4061                    ,FK6
92,4062                    ,FK6
93,2048 phi^1 Cet          ,FK6
94,4063                    ,FK6
95,4064                    ,FK6
96,4065                    ,FK6
97,2049                    ,FK6
98,4066                    ,FK6
99,4067                    ,FK6
100,4068                    ,FK6
101,2050 58 Psc             ,FK6
102,2051 59 Psc             ,FK6
103,2052                    ,FK6
104,4069                    ,FK6
105,2053                    ,FK6
