 FK6  ,        Name        ,      alpha      ,       delta      ,     mu    alp,     mu    delta,    p   ,    mag
3928,                    ,  0  0 30.888284 ,  +59 33 34.84732 , -   80.84 , -   23.88 ,    7.6 ,  6.18  
4001,                    ,  0  0 42.104182 ,  -64 27 56.87866 , +    1.94 , +   10.50 ,    6.1 ,  8.34  
3929,                    ,  0  1 19.251507 ,  +49 58 53.61029 , +   13.22 , -   10.94 ,    4.5 ,  6.22  
3930,                    ,  0  1 39.461850 ,  +73 36 42.64626 , +   76.60 , -   12.54 ,   15.2 ,  6.50  
3931,                    ,  0  1 55.273385 ,  -37 13 47.83422 , -   19.59 , -   45.27 ,    7.5 ,  7.04  
4002,                    ,  0  2 16.683440 ,  -13 24 26.77273 , +  260.96 , +   32.38 ,   14.9 ,  6.90  
4003,                    ,  0  2 21.543807 ,  +11  0 22.44955 , -    4.00 , -   43.16 ,   29.7 ,  8.48  
3933, 32 Psc             ,  0  2 29.701948 ,  + 8 29  7.66830 , -   94.11 , -   47.36 ,   26.5 ,  5.70  
4004,                    ,  0  2 57.432525 ,  -39 31 38.67800 , +   60.30 , -   36.18 ,    6.3 ,  9.00  
4005,                    ,  0  3  5.813948 ,  +31 52 12.29760 , +    9.98 , -    8.45 ,   13.2 ,  8.75  
4006,                    ,  0  3 30.508977 ,  +12 21 24.55773 , -   13.90 , -    3.04 ,    4.9 ,  7.45  
4007,                    ,  0  3 40.103939 ,  + 3 54 25.10867 , -   23.29 , -   12.36 ,    8.6 ,  7.89  
4008,                    ,  0  4 14.648408 ,  -34 24 52.97621 , +   68.23 , -   25.48 ,    6.5 ,  8.41  
2001, 3 Cet              ,  0  4 30.118541 ,  -10 30 34.28265 , -    6.42 , -   11.73 ,    1.7 ,  4.99  
4010,                    ,  0  5 25.465143 ,  - 3 51  6.02226 , -    6.04 , -   31.78 ,    4.6 ,  7.59  
2004, 86 Peg             ,  0  5 41.961032 ,  +13 23 46.55556 , +   42.12 , -    6.93 ,    8.7 ,  5.55  
2005, 10 Cas             ,  0  6 26.539632 ,  +64 11 46.20651 , +    9.54 , -    0.05 ,    3.3 ,  5.57  
4013,                    ,  0  6 53.385425 ,  -55  9 38.98727 , +   16.39 , -   13.19 ,    2.0 ,  8.79  
4014,                    ,  0  7 15.376926 ,  -41 53 22.44520 , -   62.59 , +   17.72 ,   17.1 ,  8.23  
4015,                    ,  0  7 36.970129 ,  -86  2 19.53135 , +   23.09 , +    7.16 ,    2.5 ,  7.39  
4016,                    ,  0  7 40.456176 ,  +39  2  5.18884 , -   67.66 , -   56.84 ,    9.5 ,  8.01  
4017,                    ,  0  8 48.496260 ,  -47  3 38.78444 , +   99.39 , -   45.98 ,    8.5 ,  7.81  
4018,                    ,  0  8 53.644005 ,  -22 10 46.25881 , -   17.63 , -    5.65 ,    3.0 ,  7.13  
4019,                    ,  0  9 19.444205 ,  +17 32  2.11984 , +    4.20 , -  130.23 ,   19.2 ,  7.07  
2007,                    ,  0  9 52.117202 ,  -62 17 48.46238 , +   17.16 , +   17.18 ,    7.3 ,  6.34  
3971, gamma^3 Oct        ,  0 10  2.174691 ,  -82 13 26.57230 , -   21.88 , -   20.75 ,   13.4 ,  5.29  
2008,                    ,  0 10 42.833628 ,  -12 34 47.62831 , +  147.66 , -   38.23 ,   15.3 ,  5.84  
4021,                    ,  0 11 15.672657 ,  + 7 56 53.30893 , -   10.96 , -    7.99 ,    4.2 ,  7.69  
